"","team1","team2","group","p_team1_win","p_team2_win","p_draw"
"73","New Zealand","South Africa","Knockout",0.912961574580235,0.0870384254197651,0
"74","New Zealand","Italy","Knockout",0.323765844883651,0.676234155116349,0
"75","New Zealand","Argentina","Knockout",0.691417651906639,0.308582348093361,0
"76","New Zealand","Germany","Knockout",0.0774956847146354,0.922504315285365,0
"77","New Zealand","Morocco","Knockout",0.958114441761483,0.0418855582385168,0
"78","New Zealand","Colombia","Knockout",0.471441387874706,0.528558612125294,0
"79","New Zealand","Korea Republic","Knockout",0.310787108217185,0.689212891782815,0
"80","Norway","Philippines","Knockout",0.98060921899395,0.0193907810060496,0
"81","Norway","Switzerland","Knockout",0.780275483795186,0.219724516204815,0
"82","Norway","Australia","Knockout",0.450250877836171,0.549749122163829,0
"83","Norway","Republic of Ireland","Knockout",0.84862284113435,0.15137715886565,0
"84","Norway","Nigeria","Knockout",0.946642686619176,0.053357313380824,0
"85","Norway","Canada","Knockout",0.435469775488089,0.564530224511911,0
"86","Norway","Spain","Knockout",0.149798504335664,0.850201495664336,0
"87","Norway","Costa Rica","Knockout",0.947288831426595,0.0527111685734045,0
"88","Norway","Zambia","Knockout",0.991355712956898,0.00864428704310159,0
"89","Norway","Japan","Knockout",0.612434101449777,0.387565898550223,0
"90","Norway","England","Knockout",0.361007926475594,0.638992073524406,0
"91","Norway","Haiti","Knockout",0.988076791530148,0.0119232084698517,0
"92","Norway","Denmark","Knockout",0.626858140879789,0.373141859120211,0
"93","Norway","China PR","Knockout",0.780974763117359,0.219025236882641,0
"94","Norway","USA","Knockout",0.247545355350393,0.752454644649607,0
"95","Norway","Vietnam","Knockout",0.973865634571771,0.0261343654282288,0
"96","Norway","Netherlands","Knockout",0.583226781843941,0.416773218156059,0
"97","Norway","Portugal","Knockout",0.909163826352122,0.0908361736478777,0
"98","Norway","France","Knockout",0.401442441711464,0.598557558288536,0
"99","Norway","Jamaica","Knockout",0.984489617822098,0.0155103821779023,0
"100","Norway","Brazil","Knockout",0.486404739089169,0.513595260910831,0
"101","Norway","Panama","Knockout",0.990942797876769,0.00905720212323134,0
"102","Norway","Sweden","Knockout",0.465483198078877,0.534516801921123,0
"103","Norway","South Africa","Knockout",0.988038856259754,0.0119611437402461,0
"104","Norway","Italy","Knockout",0.790376393155853,0.209623606844147,0
"105","Norway","Argentina","Knockout",0.946367201877141,0.0536327981228586,0
"106","Norway","Germany","Knockout",0.398155793416554,0.601844206583446,0
"107","Norway","Morocco","Knockout",0.994479443103002,0.00552055689699752,0
"108","Norway","Colombia","Knockout",0.875376363169305,0.124623636830695,0
"109","Norway","Korea Republic","Knockout",0.780275483795186,0.219724516204815,0
"110","Philippines","Switzerland","Knockout",0.0656137999509347,0.934386200049065,0
"111","Philippines","Australia","Knockout",0.0159372052493853,0.984062794750615,0
"112","Philippines","Republic of Ireland","Knockout",0.0997921733636138,0.900207826636386,0
"113","Philippines","Nigeria","Knockout",0.259712067547476,0.740287932452524,0
"114","Philippines","Canada","Knockout",0.0150243483168884,0.984975651683112,0
"115","Philippines","Spain","Knockout",0.00347195802769484,0.996528041972305,0
"116","Philippines","Costa Rica","Knockout",0.262193347840959,0.737806652159041,0
"117","Philippines","Zambia","Knockout",0.693981232267494,0.306018767732506,0
"118","Philippines","Japan","Knockout",0.0303005348006542,0.969699465199346,0
"119","Philippines","England","Knockout",0.01104830552026,0.98895169447974,0
"120","Philippines","Haiti","Knockout",0.621024116100033,0.378975883899967,0
"121","Philippines","Denmark","Knockout",0.0321515552437977,0.967848444756202,0
"122","Philippines","China PR","Knockout",0.06586459189979,0.93413540810021,0
"123","Philippines","USA","Knockout",0.00646335003727105,0.993536649962729,0
"124","Philippines","Vietnam","Knockout",0.424249160200302,0.575750839799698,0
"125","Philippines","Netherlands","Knockout",0.0269266643664093,0.973073335633591,0
"126","Philippines","Portugal","Knockout",0.165217479502045,0.834782520497955,0
"127","Philippines","France","Knockout",0.0130886495572518,0.986911350442748,0
"128","Philippines","Jamaica","Knockout",0.556566163834025,0.443433836165975,0
"129","Philippines","Brazil","Knockout",0.0183830749371238,0.981616925062876,0
"130","Philippines","Panama","Knockout",0.683892905534612,0.316107094465388,0
"131","Philippines","Sweden","Knockout",0.0169288297715826,0.983071170228417,0
"132","Philippines","South Africa","Knockout",0.620267167499824,0.379732832500176,0
"133","Philippines","Italy","Knockout",0.0693846367025921,0.930615363297408,0
"134","Philippines","Argentina","Knockout",0.258667380403651,0.741332619596349,0
"135","Philippines","Germany","Knockout",0.0129128992150919,0.987087100784908,0
"136","Philippines","Morocco","Knockout",0.780805121118606,0.219194878881394,0
"137","Philippines","Colombia","Knockout",0.121957684655771,0.878042315344229,0
"138","Philippines","Korea Republic","Knockout",0.0656137999509347,0.934386200049065,0
"139","Switzerland","Australia","Knockout",0.187409751641784,0.812590248358216,0
"140","Switzerland","Republic of Ireland","Knockout",0.612199672948788,0.387800327051212,0
"141","Switzerland","Nigeria","Knockout",0.833222229865604,0.166777770134396,0
"142","Switzerland","Canada","Knockout",0.178456353781153,0.821543646218847,0
"143","Switzerland","Spain","Knockout",0.047270042122627,0.952729957877373,0
"144","Switzerland","Costa Rica","Knockout",0.835002473380205,0.164997526619795,0
"145","Switzerland","Zambia","Knockout",0.96996516515244,0.0300348348475602,0
"146","Switzerland","Japan","Knockout",0.307950798806363,0.692049201193637,0
"147","Switzerland","England","Knockout",0.137256662945883,0.862743337054117,0
"148","Switzerland","Haiti","Knockout",0.958908767015846,0.041091232984154,0
"149","Switzerland","Denmark","Knockout",0.321145858870676,0.678854141129324,0
"150","Switzerland","China PR","Knockout",0.501020847738685,0.498979152261315,0
"151","Switzerland","USA","Knockout",0.084786628623802,0.915213371376198,0
"152","Switzerland","Vietnam","Knockout",0.912993801768408,0.0870061982315922,0
"153","Switzerland","Netherlands","Knockout",0.282673495030006,0.717326504969994,0
"154","Switzerland","Portugal","Knockout",0.738115206545348,0.261884793454652,0
"155","Switzerland","France","Knockout",0.158860507509206,0.841139492490794,0
"156","Switzerland","Jamaica","Knockout",0.947016765108474,0.0529832348915255,0
"157","Switzerland","Brazil","Knockout",0.210541093387105,0.789458906612895,0
"158","Switzerland","Panama","Knockout",0.968562880928113,0.0314371190718869,0
"159","Switzerland","Sweden","Knockout",0.196935362154232,0.803064637845768,0
"160","Switzerland","South Africa","Knockout",0.958781901081454,0.0412180989185464,0
"161","Switzerland","Italy","Knockout",0.514976325310269,0.485023674689731,0
"162","Switzerland","Argentina","Knockout",0.832464790361208,0.167535209638792,0
"163","Switzerland","Germany","Knockout",0.157038838904236,0.842961161095764,0
"164","Switzerland","Morocco","Knockout",0.980667923938772,0.0193320760612276,0
"165","Switzerland","Colombia","Knockout",0.66420347711628,0.33579652288372,0
"166","Switzerland","Korea Republic","Knockout",0.5,0.5,0
"167","Australia","Republic of Ireland","Knockout",0.872527941218051,0.127472058781949,0
"168","Australia","Nigeria","Knockout",0.955873613274159,0.0441263867258411,0
"169","Australia","Canada","Knockout",0.485026620167812,0.514973379832188,0
"170","Australia","Spain","Knockout",0.177040977848603,0.822959022151397,0
"171","Australia","Costa Rica","Knockout",0.956413120641613,0.0435868793583866,0
"172","Australia","Zambia","Knockout",0.992909135342172,0.00709086465782794,0
"173","Australia","Japan","Knockout",0.658633949003858,0.341366050996142,0
"174","Australia","England","Knockout",0.40821846928553,0.59178153071447,0
"175","Australia","Haiti","Knockout",0.990213635999047,0.00978636400095278,0
"176","Australia","Denmark","Knockout",0.672258708297485,0.327741291702515,0
"177","Australia","China PR","Knockout",0.813211304357751,0.186788695642249,0
"178","Australia","USA","Knockout",0.286572389169793,0.713427610830207,0
"179","Australia","Vietnam","Knockout",0.978493928883721,0.0215060711162787,0
"180","Australia","Netherlands","Knockout",0.630809459023706,0.369190540976295,0
"181","Australia","Portugal","Knockout",0.92436059060341,0.0756394093965898,0
"182","Australia","France","Knockout",0.450215153188961,0.549784846811039,0
"183","Australia","Jamaica","Knockout",0.987261057169199,0.0127389428308006,0
"184","Australia","Brazil","Knockout",0.536251937577845,0.463748062422156,0
"185","Australia","Panama","Knockout",0.992569867058679,0.0074301329413209,0
"186","Australia","Sweden","Knockout",0.515337670442964,0.484662329557036,0
"187","Australia","South Africa","Knockout",0.990182431831284,0.00981756816871662,0
"188","Australia","Italy","Knockout",0.82154537510552,0.17845462489448,0
"189","Australia","Argentina","Knockout",0.955643554809377,0.0443564451906229,0
"190","Australia","Germany","Knockout",0.446827283299785,0.553172716700215,0
"191","Australia","Morocco","Knockout",0.995474078060351,0.00452592193964936,0
"192","Australia","Colombia","Knockout",0.895576484382432,0.104423515617568,0
"193","Australia","Korea Republic","Knockout",0.812590248358216,0.187409751641784,0
"194","Republic of Ireland","Nigeria","Knockout",0.759888857861907,0.240111142138093,0
"195","Republic of Ireland","Canada","Knockout",0.120955914173863,0.879044085826137,0
"196","Republic of Ireland","Spain","Knockout",0.0304713634123601,0.96952863658764,0
"197","Republic of Ireland","Costa Rica","Knockout",0.762228508373826,0.237771491626174,0
"198","Republic of Ireland","Zambia","Knockout",0.953395573894376,0.0466044261056243,0
"199","Republic of Ireland","Japan","Knockout",0.21989387352217,0.78010612647783,0
"200","Republic of Ireland","England","Knockout",0.0915518346767797,0.90844816532322,0
"201","Republic of Ireland","Haiti","Knockout",0.936638040704317,0.0633619592956826,0
"202","Republic of Ireland","Denmark","Knockout",0.230572960868321,0.769427039131679,0
"203","Republic of Ireland","China PR","Knockout",0.388770214293007,0.611229785706993,0
"204","Republic of Ireland","USA","Knockout",0.0554311281116737,0.944568871888326,0
"205","Republic of Ireland","Vietnam","Knockout",0.869231604779964,0.130768395220036,0
"206","Republic of Ireland","Netherlands","Knockout",0.1997581650006,0.8002418349994,0
"207","Republic of Ireland","Portugal","Knockout",0.640981649383766,0.359018350616234,0
"208","Republic of Ireland","France","Knockout",0.106852829303536,0.893147170696464,0
"209","Republic of Ireland","Jamaica","Knockout",0.918846253448501,0.0811537465514985,0
"210","Republic of Ireland","Brazil","Knockout",0.144521232896738,0.855478767103262,0
"211","Republic of Ireland","Panama","Knockout",0.951258553248322,0.0487414467516782,0
"212","Republic of Ireland","Sweden","Knockout",0.134455261555115,0.865544738444885,0
"213","Republic of Ireland","South Africa","Knockout",0.936446972769051,0.0635530272309494,0
"214","Republic of Ireland","Italy","Knockout",0.402118757764298,0.597881242235702,0
"215","Republic of Ireland","Argentina","Knockout",0.758894740241096,0.241105259758904,0
"216","Republic of Ireland","Germany","Knockout",0.105552699702017,0.894447300297983,0
"217","Republic of Ireland","Morocco","Knockout",0.969819100429745,0.0301808995702548,0
"218","Republic of Ireland","Colombia","Knockout",0.556141082245858,0.443858917754142,0
"219","Republic of Ireland","Korea Republic","Knockout",0.387800327051212,0.612199672948788,0
"220","Nigeria","Canada","Knockout",0.0416672665864005,0.9583327334136,0
"221","Nigeria","Spain","Knockout",0.00983335627517283,0.990166643724827,0
"222","Nigeria","Costa Rica","Knockout",0.503216461306087,0.496783538693913,0
"223","Nigeria","Zambia","Knockout",0.866025411568349,0.133974588431651,0
"224","Nigeria","Japan","Knockout",0.0817836863971535,0.918216313602846,0
"225","Nigeria","England","Knockout",0.0308613590009332,0.969138640999067,0
"226","Nigeria","Haiti","Knockout",0.82366277314947,0.17633722685053,0
"227","Nigeria","Denmark","Knockout",0.0864992019162204,0.91350079808378,0
"228","Nigeria","China PR","Knockout",0.167345983323603,0.832654016676397,0
"229","Nigeria","USA","Knockout",0.0182055127073868,0.981794487292613,0
"230","Nigeria","Vietnam","Knockout",0.67745742160345,0.32254257839655,0
"231","Nigeria","Netherlands","Knockout",0.0731095222248472,0.926890477775153,0
"232","Nigeria","Portugal","Knockout",0.360673318367072,0.639326681632928,0
"233","Nigeria","France","Knockout",0.0364259051209558,0.963574094879044,0
"234","Nigeria","Jamaica","Knockout",0.781546773721394,0.218453226278606,0
"235","Nigeria","Brazil","Knockout",0.0506756447505991,0.949324355249401,0
"236","Nigeria","Panama","Knockout",0.860468412263727,0.139531587736273,0
"237","Nigeria","Sweden","Knockout",0.0467885687152387,0.953211431284761,0
"238","Nigeria","South Africa","Knockout",0.823195336317111,0.176804663682889,0
"239","Nigeria","Italy","Knockout",0.175271946102809,0.824728053897191,0
"240","Nigeria","Argentina","Knockout",0.498639805969219,0.501360194030781,0
"241","Nigeria","Germany","Knockout",0.03594820364511,0.96405179635489,0
"242","Nigeria","Morocco","Knockout",0.910342987944339,0.0896570120556614,0
"243","Nigeria","Colombia","Knockout",0.283624147288778,0.716375852711222,0
"244","Nigeria","Korea Republic","Knockout",0.166777770134396,0.833222229865604,0
"245","Canada","Spain","Knockout",0.185939436323582,0.814060563676418,0
"246","Canada","Costa Rica","Knockout",0.958843469110692,0.0411565308893082,0
"247","Canada","Zambia","Knockout",0.993318728673737,0.00668127132626297,0
"248","Canada","Japan","Knockout",0.671973384687574,0.328026615312426,0
"249","Canada","England","Knockout",0.422767291738683,0.577232708261317,0
"250","Canada","Haiti","Knockout",0.990777484657119,0.00922251534288133,0
"251","Canada","Denmark","Knockout",0.68532010717537,0.31467989282463,0
"252","Canada","China PR","Knockout",0.822141525865589,0.177858474134411,0
"253","Canada","USA","Knockout",0.298976094339941,0.701023905660059,0
"254","Canada","Vietnam","Knockout",0.979719187452773,0.0202808125472275,0
"255","Canada","Netherlands","Knockout",0.644649561777758,0.355350438222242,0
"256","Canada","Portugal","Knockout",0.928444434222869,0.0715555657771309,0
"257","Canada","France","Knockout",0.465084422111163,0.534915577888837,0
"258","Canada","Jamaica","Knockout",0.987992958092555,0.0120070419074454,0
"259","Canada","Brazil","Knockout",0.551114335096928,0.448885664903072,0
"260","Canada","Panama","Knockout",0.992998919539587,0.00700108046041343,0
"261","Canada","Sweden","Knockout",0.530283231279401,0.469716768720599,0
"262","Canada","South Africa","Knockout",0.990748061542743,0.00925193845725717,0
"263","Canada","Italy","Knockout",0.830160366751317,0.169839633248683,0
"264","Canada","Argentina","Knockout",0.958114934085234,0.0418850659147656,0
"265","Canada","Germany","Knockout",0.461678620992737,0.538321379007263,0
"266","Canada","Morocco","Knockout",0.99573614750586,0.00426385249414016,0
"267","Canada","Colombia","Knockout",0.901048046286369,0.0989519537136307,0
"268","Canada","Korea Republic","Knockout",0.821543646218847,0.178456353781153,0
"269","Spain","Costa Rica","Knockout",0.99029112904788,0.00970887095212042,0
"270","Spain","Zambia","Knockout",0.998466023982809,0.0015339760171906,0
"271","Spain","Japan","Knockout",0.899685746706812,0.100314253293188,0
"272","Spain","England","Knockout",0.762274513306927,0.237725486693073,0
"273","Spain","Haiti","Knockout",0.997878389437544,0.0021216105624563,0
"274","Spain","Denmark","Knockout",0.905076132271422,0.0949238677285781,0
"275","Spain","China PR","Knockout",0.952913516438952,0.047086483561048,0
"276","Spain","USA","Knockout",0.651226634495042,0.348773365504958,0
"277","Spain","Vietnam","Knockout",0.995294021632325,0.00470597836767492,0
"278","Spain","Netherlands","Knockout",0.888173263029207,0.111826736970793,0
"279","Spain","Portugal","Knockout",0.98270089447149,0.0172991055285101,0
"280","Spain","France","Knockout",0.791950649027377,0.208049350972623,0
"281","Spain","Jamaica","Knockout",0.99723182780482,0.00276817219518033,0
"282","Spain","Brazil","Knockout",0.843141125112862,0.156858874887138,0
"283","Spain","Panama","Knockout",0.998392199106572,0.00160780089342827,0
"284","Spain","Sweden","Knockout",0.831723994248827,0.168276005751173,0
"285","Spain","South Africa","Knockout",0.997871572075763,0.00212842792423698,0
"286","Spain","Italy","Knockout",0.955356591447013,0.0446434085529867,0
"287","Spain","Argentina","Knockout",0.99011352707397,0.00988647292602972,0
"288","Spain","Germany","Knockout",0.78968488610607,0.21031511389393,0
"289","Spain","Morocco","Knockout",0.999022879495176,0.000977120504823637,0
"290","Spain","Colombia","Knockout",0.975530116635826,0.0244698833641742,0
"291","Spain","Korea Republic","Knockout",0.952729957877373,0.047270042122627,0
"292","Costa Rica","Zambia","Knockout",0.864525583725766,0.135474416274234,0
"293","Costa Rica","Japan","Knockout",0.0808226950820719,0.919177304917928,0
"294","Costa Rica","England","Knockout",0.0304788639542081,0.969521136045792,0
"295","Costa Rica","Haiti","Knockout",0.821786292761177,0.178213707238823,0
"296","Costa Rica","Denmark","Knockout",0.0854879601105005,0.9145120398895,0
"297","Costa Rica","China PR","Knockout",0.16556087967831,0.83443912032169,0
"298","Costa Rica","USA","Knockout",0.0179769643644032,0.982023035635597,0
"299","Costa Rica","Vietnam","Knockout",0.674639687103723,0.325360312896277,0
"300","Costa Rica","Netherlands","Knockout",0.0722424366987631,0.927757563301237,0
"301","Costa Rica","Portugal","Knockout",0.357711916350975,0.642288083649025,0
"302","Costa Rica","France","Knockout",0.0359770034380274,0.964022996561973,0
"303","Costa Rica","Jamaica","Knockout",0.779342184003896,0.220657815996104,0
"304","Costa Rica","Brazil","Knockout",0.0500602570269744,0.949939742973025,0
"305","Costa Rica","Panama","Knockout",0.858916509106715,0.141083490893285,0
"306","Costa Rica","Sweden","Knockout",0.046218086210254,0.953781913789746,0
"307","Costa Rica","South Africa","Knockout",0.821314960832173,0.178685039167827,0
"308","Costa Rica","Italy","Knockout",0.173419904067381,0.826580095932619,0
"309","Costa Rica","Argentina","Knockout",0.495423424753408,0.504576575246592,0
"310","Costa Rica","Germany","Knockout",0.0355049720876961,0.964495027912304,0
"311","Costa Rica","Morocco","Knockout",0.90928732196157,0.0907126780384304,0
"312","Costa Rica","Colombia","Knockout",0.281017302766889,0.718982697233111,0
"313","Costa Rica","Korea Republic","Knockout",0.164997526619795,0.835002473380205,0
"314","Zambia","Japan","Knockout",0.013591589230903,0.986408410769097,0
"315","Zambia","England","Knockout",0.00490215139930855,0.995097848600692,0
"316","Zambia","Haiti","Knockout",0.419481768700492,0.580518231299508,0
"317","Zambia","Denmark","Knockout",0.0144370786204221,0.985562921379578,0
"318","Zambia","China PR","Knockout",0.0301540239590752,0.969845976040925,0
"319","Zambia","USA","Knockout",0.00286042177448842,0.997139578225512,0
"320","Zambia","Vietnam","Knockout",0.245241839420301,0.754758160579699,0
"321","Zambia","Netherlands","Knockout",0.0120550788165273,0.987944921183473,0
"322","Zambia","Portugal","Knockout",0.0802683122617303,0.91973168773827,0
"323","Zambia","France","Knockout",0.00581412841068186,0.994185871589318,0
"324","Zambia","Jamaica","Knockout",0.356276760990792,0.643723239009208,0
"325","Zambia","Brazil","Knockout",0.00819039347899777,0.991809606521002,0
"326","Zambia","Panama","Knockout",0.488232620071991,0.511767379928009,0
"327","Zambia","Sweden","Knockout",0.00753627876584923,0.992463721234151,0
"328","Zambia","South Africa","Knockout",0.41869907131462,0.58130092868538,0
"329","Zambia","Italy","Knockout",0.0318305974571539,0.968169402542846,0
"330","Zambia","Argentina","Knockout",0.133344574864348,0.866655425135652,0
"331","Zambia","Germany","Knockout",0.00573549041791298,0.994264509582087,0
"332","Zambia","Morocco","Knockout",0.611011480198321,0.388988519801679,0
"333","Zambia","Colombia","Knockout",0.0577134520671503,0.94228654793285,0
"334","Zambia","Korea Republic","Knockout",0.0300348348475602,0.96996516515244,0
"335","Japan","England","Knockout",0.263365781642892,0.736634218357108,0
"336","Japan","Haiti","Knockout",0.981288315993354,0.0187116840066465,0
"337","Japan","Denmark","Knockout",0.515296761337686,0.484703238662314,0
"338","Japan","China PR","Knockout",0.692918759731506,0.307081240268494,0
"339","Japan","USA","Knockout",0.172315869316084,0.827684130683916,0
"340","Japan","Vietnam","Knockout",0.959319166008724,0.040680833991276,0
"341","Japan","Netherlands","Knockout",0.469656936059886,0.530343063940114,0
"342","Japan","Portugal","Knockout",0.863646440538238,0.136353559461762,0
"343","Japan","France","Knockout",0.297963588450636,0.702036411549364,0
"344","Japan","Jamaica","Knockout",0.975708995446202,0.0242910045537981,0
"345","Japan","Brazil","Knockout",0.374736534017417,0.625263465982583,0
"346","Japan","Panama","Knockout",0.985762569871347,0.014237430128653,0
"347","Japan","Sweden","Knockout",0.355295412851964,0.644704587148036,0
"348","Japan","South Africa","Knockout",0.981229192599281,0.0187708074007194,0
"349","Japan","Italy","Knockout",0.704670836575458,0.295329163424542,0
"350","Japan","Argentina","Knockout",0.917806806091866,0.0821931939081338,0
"351","Japan","Germany","Knockout",0.295106441349749,0.704893558650251,0
"352","Japan","Morocco","Knockout",0.991304233909063,0.00869576609093735,0
"353","Japan","Colombia","Knockout",0.816348316182987,0.183651683817013,0
"354","Japan","Korea Republic","Knockout",0.692049201193637,0.307950798806363,0
"355","England","Haiti","Knockout",0.993228685901558,0.00677131409844219,0
"356","England","Denmark","Knockout",0.748335344986714,0.251664655013286,0
"357","England","China PR","Knockout",0.863226165892018,0.136773834107982,0
"358","England","USA","Knockout",0.368012021455318,0.631987978544682,0
"359","England","Vietnam","Knockout",0.985065208439529,0.0149347915604705,0
"360","England","Netherlands","Knockout",0.71239120589546,0.28760879410454,0
"361","England","Portugal","Knockout",0.94656935802312,0.0534306419768801,0
"362","England","France","Knockout",0.542778561262081,0.457221438737919,0
"363","England","Jamaica","Knockout",0.991177653167954,0.00882234683204604,0
"364","England","Brazil","Knockout",0.626351847349804,0.373648152650196,0
"365","England","Panama","Knockout",0.994862759295162,0.0051372407048378,0
"366","England","Sweden","Knockout",0.606519405353633,0.393480594646367,0
"367","England","South Africa","Knockout",0.993207029376782,0.00679297062321853,0
"368","England","Italy","Knockout",0.869686287333324,0.130313712666676,0
"369","England","Argentina","Knockout",0.968975496754667,0.0310245032453332,0
"370","England","Germany","Knockout",0.539377505983423,0.460622494016577,0
"371","England","Morocco","Knockout",0.996873572016171,0.00312642798382936,0
"372","England","Colombia","Knockout",0.925556020308147,0.0744439796918535,0
"373","England","Korea Republic","Knockout",0.862743337054117,0.137256662945883,0
"374","Haiti","Denmark","Knockout",0.0198692624982438,0.980130737501756,0
"375","Haiti","China PR","Knockout",0.0412524318619897,0.95874756813801,0
"376","Haiti","USA","Knockout",0.00395417796754907,0.996045822032451,0
"377","Haiti","Vietnam","Knockout",0.310185671018746,0.689814328981254,0
"378","Haiti","Netherlands","Knockout",0.0166060983181326,0.983393901681867,0
"379","Haiti","Portugal","Knockout",0.10776218319641,0.89223781680359,0
